X (ECEF),Y (ECEF),Z (ECEF),Northing,Easting,Elevation,dX,dY,dZ,dN,dE,dH,
-2956298.724,5075995.153,2476764.627,2544530.023,169716.1106,,0,0,0,0,0,0,true value
-2956298.704,5075995.128,2476764.615,2544530.005,169716.097,19.639,0.02,-0.025,-0.012,-4.70E-03,1.33E-03,-3.38E-02,
-2956298.704,5075995.13,2476764.613,2544530.002,169716.096,19.64,0.02,-0.023,-0.014,-5.71E-03,-1.19E-03,-3.30E-02,
-2956298.706,5075995.129,2476764.615,2544530.004,169716.098,19.64,0.018,-0.024,-0.012,-3.48E-03,5.97E-04,-3.21E-02,
-2956298.707,5075995.137,2476764.618,2544530.004,169716.094,19.649,0.017,-0.016,-0.009,-6.64E-03,4.61E-04,-2.41E-02,
-2956298.707,5075995.137,2476764.615,2544530.001,169716.095,19.648,0.017,-0.016,-0.012,-6.64E-03,-2.30E-03,-2.53E-02,
-2956298.708,5075995.128,2476764.611,2544530.001,169716.101,19.64,0.016,-0.025,-0.016,-1.24E-03,-3.14E-03,-3.35E-02,
-2956298.708,5075995.13,2476764.615,2544530.003,169716.099,19.643,0.016,-0.023,-0.012,-2.25E-03,-1.34E-04,-3.04E-02,
-2956298.709,5075995.135,2476764.613,2544530,169716.098,19.646,0.015,-0.018,-0.014,-3.90E-03,-3.86E-03,-2.67E-02,
-2956298.709,5075995.137,2476764.619,2544530.005,169716.097,19.65,0.015,-0.016,-0.008,-4.91E-03,9.88E-04,-2.28E-02,
-2956298.71,5075995.132,2476764.616,2544530.003,169716.1,19.645,0.014,-0.021,-0.011,-1.53E-03,-2.82E-04,-2.75E-02,
-2956298.71,5075995.134,2476764.617,2544530.004,169716.099,19.648,0.014,-0.019,-0.01,-2.54E-03,-3.67E-05,-2.55E-02,
-2956298.71,5075995.13,2476764.612,2544530,169716.101,19.642,0.014,-0.023,-0.015,-5.22E-04,-3.29E-03,-3.06E-02,
-2956298.71,5075995.13,2476764.615,2544530.002,169716.101,19.643,0.014,-0.023,-0.012,-5.22E-04,-5.27E-04,-2.95E-02,
-2956298.71,5075995.137,2476764.618,2544530.003,169716.098,19.65,0.014,-0.016,-0.009,-4.05E-03,-1.29E-04,-2.27E-02,
-2956298.71,5075995.136,2476764.617,2544530.003,169716.098,19.649,0.014,-0.017,-0.01,-3.54E-03,-7.12E-04,-2.39E-02,
-2956298.711,5075995.132,2476764.614,2544530.001,169716.101,19.645,0.013,-0.021,-0.013,-6.65E-04,-2.32E-03,-2.78E-02,
-2956298.711,5075995.132,2476764.615,2544530.002,169716.101,19.645,0.013,-0.021,-0.012,-6.65E-04,-1.40E-03,-2.74E-02,
-2956298.711,5075995.136,2476764.615,2544530,169716.099,19.648,0.013,-0.017,-0.012,-2.68E-03,-2.75E-03,-2.42E-02,
-2956298.711,5075995.142,2476764.623,2544530.006,169716.096,19.656,0.013,-0.011,-0.004,-5.70E-03,2.59E-03,-1.63E-02,
-2956298.711,5075995.136,2476764.62,2544530.005,169716.099,19.65,0.013,-0.017,-0.007,-2.68E-03,1.85E-03,-2.23E-02,
-2956298.712,5075995.139,2476764.617,2544530.001,169716.098,19.652,0.012,-0.014,-0.01,-3.32E-03,-2.12E-03,-2.06E-02,
-2956298.712,5075995.135,2476764.615,2544530.001,169716.1,19.648,0.012,-0.018,-0.012,-1.31E-03,-2.61E-03,-2.46E-02,
-2956298.712,5075995.141,2476764.619,2544530.002,169716.097,19.655,0.012,-0.012,-0.008,-4.33E-03,-9.53E-04,-1.82E-02,
-2956298.712,5075995.133,2476764.618,2544530.004,169716.101,19.648,0.012,-0.02,-0.009,-3.04E-04,8.28E-04,-2.50E-02,
-2956298.712,5075995.142,2476764.622,2544530.005,169716.097,19.656,0.012,-0.011,-0.005,-4.83E-03,1.47E-03,-1.63E-02,
-2956298.712,5075995.137,2476764.617,2544530.002,169716.099,19.651,0.012,-0.016,-0.01,-2.32E-03,-1.44E-03,-2.22E-02,
-2956298.713,5075995.14,2476764.617,2544530.001,169716.099,19.653,0.011,-0.013,-0.01,-2.96E-03,-2.65E-03,-1.93E-02,
-2956298.713,5075995.145,2476764.618,2544530,169716.096,19.658,0.011,-0.008,-0.009,-5.48E-03,-3.42E-03,-1.50E-02,
-2956298.713,5075995.136,2476764.62,2544530.005,169716.101,19.652,0.011,-0.017,-0.007,-9.50E-04,1.46E-03,-2.14E-02,
-2956298.713,5075995.136,2476764.615,2544530,169716.1,19.65,0.011,-0.017,-0.012,-9.50E-04,-3.14E-03,-2.33E-02,
-2956298.713,5075995.139,2476764.622,2544530.006,169716.099,19.654,0.011,-0.014,-0.005,-2.46E-03,2.29E-03,-1.82E-02,
-2956298.713,5075995.143,2476764.621,2544530.003,169716.097,19.658,0.011,-0.01,-0.006,-4.47E-03,1.66E-05,-1.54E-02,
-2956298.713,5075995.136,2476764.614,2544529.999,169716.1,19.649,0.011,-0.017,-0.013,-9.50E-04,-4.06E-03,-2.37E-02,
-2956298.713,5075995.145,2476764.619,2544530.001,169716.096,19.659,0.011,-0.008,-0.008,-5.48E-03,-2.50E-03,-1.46E-02,
-2956298.713,5075995.139,2476764.621,2544530.005,169716.099,19.654,0.011,-0.014,-0.006,-2.46E-03,1.37E-03,-1.86E-02,
-2956298.713,5075995.134,2476764.617,2544530.003,169716.102,19.649,0.011,-0.019,-0.01,5.68E-05,-6.27E-04,-2.41E-02,
-2956298.713,5075995.136,2476764.618,2544530.003,169716.101,19.65,0.011,-0.017,-0.009,-9.50E-04,-3.81E-04,-2.21E-02,
-2956298.713,5075995.138,2476764.621,2544530.005,169716.1,19.653,0.011,-0.015,-0.006,-1.96E-03,1.70E-03,-1.94E-02,
-2956298.713,5075995.132,2476764.616,2544530.002,169716.103,19.646,0.011,-0.021,-0.011,1.06E-03,-8.72E-04,-2.61E-02,
-2956298.713,5075995.136,2476764.619,2544530.004,169716.101,19.651,0.011,-0.017,-0.008,-9.50E-04,5.39E-04,-2.17E-02,
-2956298.713,5075995.131,2476764.614,2544530.001,169716.103,19.645,0.011,-0.022,-0.013,1.57E-03,-2.38E-03,-2.77E-02,
-2956298.713,5075995.134,2476764.615,2544530.001,169716.101,19.648,0.011,-0.019,-0.012,5.68E-05,-2.47E-03,-2.49E-02,
-2956298.714,5075995.137,2476764.618,2544530.003,169716.101,19.652,0.01,-0.016,-0.009,-5.89E-04,-9.16E-04,-2.09E-02,
-2956298.714,5075995.152,2476764.62,2544530,169716.093,19.665,0.01,-0.001,-0.007,-8.14E-03,-4.14E-03,-8.16E-03,
