EO/IO Summary (03/04/2017 11:51am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

Camera number: 1, name: Xiaomi 2013023, ID: default
Calibration Date: 29/03/2017 15:30pm
Resolution: 3328 x 1872 pixels, Pixel Size = 0.001400 mm

 c =    3.984584 mm
xp =    0.041933 mm
yp =   -0.016958 mm
K1 = -6.9954e-03
K2 =  7.7051e-04
K3 = -7.5490e-51
P1 =  0.0000e+00
P2 =  0.0000e+00
B1 =  0.0000e+00
B2 =  0.0000e+00
K4 =  2.6362e-61
K5 =  1.8068e-68

Maximum observational radial distance encountered: 2.6mm
______________________________________________________________________________________________________

Exterior orientation summary (Xc, Yc, Zc are in project units, rotations are in radians)

Camera    Image             Xc            Yc            Zc         Azimuth      Elevation        Roll
# 1   IMG_20170329_142042.jpg       80.3735       98.8612      634.6268   -0.97670558   -1.44630010   -2.43565562
# 1   IMG_20170329_142058.jpg      -81.3278       41.9777      565.2236   -0.92788915   -1.43725852    0.63111757
# 1   IMG_20170329_142125.jpg      -60.7716       54.6448      568.3118   -0.86206949   -1.45432899    0.60290802
# 1   IMG_20170329_142211.jpg      -63.6876       53.5254      563.7600   -0.95241270   -1.42939272    0.66706517
# 1   IMG_20170329_142226.jpg       94.7702       70.3780      642.3514   -0.81545960   -1.42962244    0.55087710
# 1   IMG_20170329_142240.jpg      198.1424      -45.8818      642.4837   -0.89177986   -1.44315250    0.62103108
# 1   IMG_20170329_142246.jpg      245.7583       99.4521      612.2858   -0.87458311   -1.40458657    0.59770481
# 1   IMG_20170329_142256.jpg      -26.7946      180.4271      574.0153   -0.83619576   -1.41960614    0.56572845
# 1   IMG_20170329_142310.jpg      -49.1470     -490.1662      566.5798   -0.33152363   -0.77150543    0.07186942
# 1   IMG_20170329_142320.jpg        7.0833     -288.2811      415.5978   -0.26956379   -0.91140488   -1.52289309
# 1   IMG_20170329_142351.jpg      350.0767     -173.1544      421.5505    0.74858485   -0.93502683    0.02279655
# 1   IMG_20170329_142410.jpg      388.6816     -154.1689      406.4552    0.76486192   -0.99263808   -1.65693030
# 1   IMG_20170329_142420.jpg      556.9654        4.5911      451.8812    1.25384457   -0.92497770    0.06135103
# 1   IMG_20170329_142427.jpg      500.2165       68.7566      437.8002    1.35045325   -1.04462860   -1.60055704
# 1   IMG_20170329_142538.jpg      489.6227       29.9134      464.3364    1.32004239   -1.06896437   -1.57317736
# 1   IMG_20170329_142549.jpg      497.3857      384.8003      452.6594    2.22086895   -0.92869888   -0.00921497
# 1   IMG_20170329_142559.jpg      482.4185      346.0830      445.1147    2.15937940   -1.07073207   -1.66198539
# 1   IMG_20170329_142609.jpg      209.8006      558.7553      447.6300    2.93403605   -0.88128901   -0.03786212
# 1   IMG_20170329_142617.jpg      194.5429      453.3786      424.2831    2.95550443   -1.06464414   -1.63553809
# 1   IMG_20170329_142631.jpg     -138.6037      472.4225      438.5183   -2.49037655   -0.83339283    0.00044921
# 1   IMG_20170329_142643.jpg     -155.7618      455.2740      448.2140   -2.36376434   -1.01523348   -1.59939211
# 1   IMG_20170329_142700.jpg     -397.3214      419.4585      461.9035   -2.05708355   -0.78606309    0.15888310
# 1   IMG_20170329_142713.jpg     -171.5418      312.4181      392.4090   -2.01734697   -0.83131472    0.20201241
# 1   IMG_20170329_142724.jpg     -209.6607      294.3682      427.5768   -2.12077248   -1.02307313   -1.26857694
# 1   IMG_20170329_142739.jpg     -332.1590      -77.8331      436.8272   -1.16083271   -0.87169791    0.11141493
# 1   IMG_20170329_142744.jpg     -253.1373      -83.4696      438.5719   -1.14007944   -1.00700455   -1.37006615

Camera    Image           Omega          Phi          Kappa
# 1   IMG_20170329_142042.jpg    0.06993549   -0.10308093    2.87443328
# 1   IMG_20170329_142058.jpg    0.08036506   -0.10676315   -0.29247519
# 1   IMG_20170329_142125.jpg    0.07600277   -0.08833604   -0.25580078
# 1   IMG_20170329_142211.jpg    0.08233852   -0.11508832   -0.28060152
# 1   IMG_20170329_142226.jpg    0.09712106   -0.10261929   -0.25959096
# 1   IMG_20170329_142240.jpg    0.08042824   -0.09922447   -0.26675313
# 1   IMG_20170329_142246.jpg    0.10717341   -0.12728585   -0.27004173
# 1   IMG_20170329_142256.jpg    0.10176790   -0.11200510   -0.26475717
# 1   IMG_20170329_142310.jpg    0.77129899   -0.23549785   -0.16367660
# 1   IMG_20170329_142320.jpg    0.64166698   -0.16388433   -1.73788704
# 1   IMG_20170329_142351.jpg    0.49566695    0.41603810    0.66466523
# 1   IMG_20170329_142410.jpg    0.44000999    0.38807242   -0.97990022
# 1   IMG_20170329_142420.jpg    0.23070229    0.60878853    1.24242768
# 1   IMG_20170329_142427.jpg    0.12626271    0.51218226   -0.28320544
# 1   IMG_20170329_142538.jpg    0.13531529    0.48475142   -0.28663781
# 1   IMG_20170329_142549.jpg   -0.42501990    0.49693050    2.32102875
# 1   IMG_20170329_142559.jpg   -0.29452206    0.41020642    0.55909017
# 1   IMG_20170329_142609.jpg   -0.67888083    0.13147103    2.94265593
# 1   IMG_20170329_142617.jpg   -0.49880187    0.08981938    1.34285808
# 1   IMG_20170329_142631.jpg   -0.62563164   -0.41977908   -2.62751069
# 1   IMG_20170329_142643.jpg   -0.41640862   -0.37912699    2.23900322
# 1   IMG_20170329_142700.jpg   -0.43667560   -0.67477159   -2.05355381
# 1   IMG_20170329_142713.jpg   -0.37524864   -0.65331651   -1.94380318
# 1   IMG_20170329_142724.jpg   -0.30862742   -0.46000684    2.82102478
# 1   IMG_20170329_142739.jpg    0.32334158   -0.63130921   -0.94299377
# 1   IMG_20170329_142744.jpg    0.25808879   -0.50703440   -2.44292855

Orientation Matrices:

   Image             R11           R12           R13           R21           R22           R23           R31           R32           R33
IMG_20170329_142042.jpg   -0.95940486    0.27028263   -0.08055810   -0.26259134   -0.96026871   -0.09449758   -0.10289848   -0.06950757    0.99226035
IMG_20170329_142058.jpg    0.95208118   -0.29558384    0.07855967    0.28668153    0.95197622    0.10749408   -0.10656045   -0.07982149    0.99109707
IMG_20170329_142125.jpg    0.96368877   -0.25877042    0.06589245    0.25203366    0.96297322    0.09571626   -0.08822120   -0.07563357    0.99322534
IMG_20170329_142211.jpg    0.95453241   -0.28507070    0.08719275    0.27510168    0.95501810    0.11072259   -0.11483442   -0.08170143    0.99001916
IMG_20170329_142226.jpg    0.96141057   -0.26507616    0.07365011    0.25533488    0.95939065    0.11989027   -0.10243928   -0.09645833    0.99005151
IMG_20170329_142240.jpg    0.95988711   -0.27042597    0.07407110    0.26230422    0.95941564    0.10352837   -0.09906174   -0.07994638    0.99186458
IMG_20170329_142246.jpg    0.95596303   -0.27832776    0.09310393    0.26461350    0.95460767    0.13676215   -0.12694242   -0.10610300    0.98621893
IMG_20170329_142256.jpg    0.95910839   -0.27128045    0.08073421    0.26003525    0.95719113    0.12714881   -0.11177106   -0.10095574    0.98859252
IMG_20170329_142310.jpg    0.95940206   -0.27730469    0.05147611    0.15844915    0.68092049    0.71501130   -0.23332712   -0.67782697    0.69721522
IMG_20170329_142320.jpg   -0.16408584   -0.77370123   -0.61193321    0.97286040   -0.22952569    0.02933603   -0.16315171   -0.59051196    0.79036520
IMG_20170329_142351.jpg    0.71997955    0.69386327    0.01353535   -0.56418131    0.57383618    0.59364256    0.40413969   -0.43504689    0.80461501
IMG_20170329_142410.jpg    0.51567915   -0.66154525   -0.54445651    0.76869029    0.63789111   -0.04701252    0.37840488   -0.39427505    0.83747056
IMG_20170329_142420.jpg    0.26455951    0.96366310    0.03690111   -0.77651035    0.19017639    0.60072008    0.57187406   -0.18758030    0.79860734
IMG_20170329_142427.jpg    0.83695355   -0.21795417   -0.50200073    0.24357694    0.96976644   -0.01494431    0.49008064   -0.10976811    0.86473807
IMG_20170329_142538.jpg    0.84869124   -0.21984606   -0.48103106    0.25015586    0.96820490   -0.00114535    0.46598843   -0.11936069    0.87670280
IMG_20170329_142549.jpg   -0.59934405    0.80047252   -0.00551855   -0.64305183   -0.47734867    0.59885105    0.47672954    0.36246653    0.80084141
IMG_20170329_142559.jpg    0.77740845    0.40943819   -0.47748976   -0.48641110    0.87263841   -0.04366294    0.39879863    0.26620026    0.87755175
IMG_20170329_142609.jpg   -0.97181759    0.23450095   -0.02408051   -0.19592164   -0.74665835    0.63570120    0.13109262    0.62250350    0.77155953
IMG_20170329_142617.jpg    0.22505869    0.84574603   -0.48379979   -0.97020757    0.24023623   -0.03136589    0.08969866    0.47644539    0.87461646
IMG_20170329_142631.jpg   -0.79514561   -0.60641848    0.00030203    0.44904270   -0.58845709    0.67236814   -0.40755873    0.53476620    0.74021686
IMG_20170329_142643.jpg   -0.57558199    0.62510739   -0.52720595   -0.72919425   -0.68414058   -0.01507998   -0.37010959    0.37575579    0.84960372
IMG_20170329_142700.jpg   -0.36248860   -0.92525812    0.11180082    0.69161276   -0.18664443    0.69773609   -0.62471898    0.33024425    0.70757680
IMG_20170329_142713.jpg   -0.28937358   -0.94761825    0.13521312    0.73946858   -0.13160873    0.66020100   -0.60782329    0.29103058    0.73881801
IMG_20170329_142724.jpg   -0.85040168    0.17223542   -0.49714378   -0.28235016   -0.94670752    0.15499436   -0.44395424    0.27217609    0.85371237
IMG_20170329_142739.jpg    0.47415584   -0.87752879    0.07155037    0.65332816    0.40515882    0.63953784   -0.59020213   -0.25649473    0.76542269
IMG_20170329_142744.jpg   -0.66936791   -0.52699297   -0.52366499    0.56227393   -0.82005796    0.10655029   -0.48558690   -0.22312183    0.84523489
______________________________________________________________________________________________________
