XYZ Points Summary (22/04/2017 6:26am)
Project Name: C:\Users\jyun\Desktop\stick_photo\stick.aus
______________________________________________________________________________________________________

       Quick Summary
    Number of Points: 367
    Number of Images: 26

Sightings
                                 Point Coordinates                       Standard Errors                           #
               Label           X              Y              Z         SX        SY        SZ     RMS xy(µm)  Rays
            WONB48_3       355.7131       -30.1267         9.1422    0.0376    0.0374    0.0627   0.959        16
             WONB5_1       413.1130       158.3374        12.2606    0.0386    0.0388    0.0644   0.736        14
            WONB5_B1       414.8186       166.7274        12.4699    0.0375    0.0376    0.0640   0.672        15
            WONB5_B4       416.5449       175.0959        12.5591    0.0372    0.0367    0.0608   0.880        16
            WONB48_2       348.4648       -25.5097         9.0342    0.0379    0.0375    0.0626   0.855        16
          WONB48_B10       339.2099       -48.6568         8.6294    0.0422    0.0416    0.0648   0.802        14
             WONB5_2       404.6580       160.0966        12.0888    0.0389    0.0390    0.0642   0.738        14
            WONB34_3       374.4230        62.0165        10.1148    0.0374    0.0365    0.0590   0.794        17
              WONB48       343.8551       -32.7906         9.1891    0.0379    0.0376    0.0625   0.831        16
               WONB5       406.4095       168.4881        12.2022    0.0375    0.0368    0.0608   0.682        16
             WONB5_5       408.1506       176.9011        12.3014    0.0377    0.0376    0.0638   0.672        15
            WONB48_5       339.2449       -40.0534         8.8407    0.0399    0.0394    0.0659   0.911        14
            WONB48_1       341.2183       -20.9030         9.0143    0.0381    0.0376    0.0624   0.817        16
          WONB34_B14       363.6151        52.6274        10.1485    0.0350    0.0349    0.0568   0.876        18
            WONB34_2       368.5621        68.3529        10.0862    0.0376    0.0366    0.0589   0.819        17
             WONB5_3       396.2834       161.8809        11.8133    0.0378    0.0370    0.0608   1.018        16
           WONB5_B11       402.6436       183.5034        12.2179    0.0381    0.0385    0.0673   0.692        14
           WONB48_B2       335.4991       -30.8055         8.9779    0.0382    0.0377    0.0624   0.908        16
           WONB48_B5       330.9008       -38.0755         8.5437    0.0403    0.0396    0.0658   0.825        14
              WONB34       362.3153        62.5230        10.1369    0.0352    0.0351    0.0567   0.885        18
            WONB34_1       362.7579        74.6461         9.8923    0.0363    0.0361    0.0589   0.821        17
            WONB34_5       356.0018        56.6898         9.9081    0.0353    0.0351    0.0567   0.887        18
           WONB34_B1       356.4669        68.8497        10.0065    0.0342    0.0346    0.0566   0.874        18
           WONB34_B8       348.5681        52.4201         9.6421    0.0355    0.0351    0.0567   0.846        18
            WONB22_3       388.1986       258.6130        12.8130    0.0450    0.0411    0.0667   0.987        13
            WONB22_2       381.9523       264.6072        12.7511    0.0440    0.0422    0.0669   0.929        13
          WONB22_B13       376.2834       246.2859        12.4454    0.0447    0.0436    0.0710   0.889        12
              WONB22       376.0082       258.3675        12.6613    0.0440    0.0406    0.0633   1.009        14
            WONB22_1       375.7704       270.5335        12.5331    0.0440    0.0421    0.0669   0.919        13
            WONB22_5       370.0820       252.1961        12.3053    0.0445    0.0417    0.0665   1.084        13
           WONB22_B1       369.8549       264.3321        12.6517    0.0442    0.0423    0.0669   0.856        13
           WONB22_B6       361.5926       253.0142        12.1690    0.0443    0.0408    0.0633   1.044        14
            WONB38_1       334.2172       164.5715        10.4101    0.0345    0.0332    0.0521   0.865        21
            WONB38_2       330.3873       156.8856        10.1842    0.0366    0.0336    0.0523   0.944        21
            WONB38_3       326.5779       149.1819         9.8827    0.0369    0.0342    0.0546   0.922        20
           WONB38_B1       326.5184       168.3762        10.5975    0.0363    0.0343    0.0540   0.795        20
              WONB38       322.6550       160.6969        10.3808    0.0346    0.0328    0.0507   0.801        22
          WONB38_B14       313.8815       155.9920        10.0834    0.0342    0.0321    0.0501   0.665        23
            WONB38_5       314.9779       164.4834        10.1541    0.0343    0.0325    0.0513   0.782        22
            WONB47_3       280.9982        67.2998         9.4779    0.0319    0.0309    0.0476   0.846        24
            WONB42_3       247.2325       -41.2173         8.8989    0.0350    0.0332    0.0518   0.815        20
           WONB38_B9       306.6177       166.4536         9.7610    0.0346    0.0338    0.0525   0.722        21
          WONB42_B15       237.8660       -47.7201         9.3244    0.0360    0.0351    0.0542   0.710        18
            WONB42_2       242.0216       -34.3784         9.0552    0.0350    0.0333    0.0518   0.912        20
            WONB47_2       274.6937        73.0926         9.2071    0.0321    0.0313    0.0486   0.755        23
              WONB47       268.8689        66.7652         9.3274    0.0330    0.0327    0.0509   0.662        21
              WONB42       235.1713       -39.5622         9.4108    0.0350    0.0333    0.0517   0.782        20
            WONB42_1       236.8253       -27.5278         9.2695    0.0345    0.0330    0.0506   0.867        20
            WONB47_5       263.0431        60.4478         9.1214    0.0327    0.0321    0.0492   0.716        22
            WONB47_1       268.3867        78.9498         9.1066    0.0327    0.0322    0.0492   0.669        22
           WONB47_B9       258.7919        52.9531         8.9945    0.0331    0.0327    0.0509   0.678        21
            WONB42_5       228.3691       -44.7802         9.4332    0.0349    0.0332    0.0517   0.734        20
          WONB42_B10       225.3700       -52.8666         9.1153    0.0352    0.0342    0.0535   0.797        19
           WONB42_B1       230.0276       -32.6834         9.6608    0.0345    0.0330    0.0505   0.858        20
           WONB47_B2       261.0150        70.2386         9.2338    0.0346    0.0348    0.0546   0.816        18
           WONB47_B5       255.1612        63.8892         8.9795    0.0344    0.0347    0.0572   0.626        18
             WONB4_3       292.7551       303.1586         9.8531    0.0397    0.0395    0.0636   0.866        14
             WONB4_2       288.1170       310.3796         9.8796    0.0392    0.0387    0.0607   0.833        15
               WONB4       280.8676       305.6949         9.9986    0.0398    0.0395    0.0636   0.773        14
             WONB4_1       283.4924       317.6131         9.9002    0.0396    0.0392    0.0636   0.889        14
             WONB4_5       273.6093       301.0111         9.9190    0.0394    0.0389    0.0607   0.775        15
            WONB4_B1       276.2383       312.8887        10.1106    0.0393    0.0387    0.0606   0.883        15
           WONB4_B10       269.9386       293.1583         9.7364    0.0395    0.0391    0.0607   0.784        15
            WONB4_B4       268.9744       308.2059        10.0477    0.0394    0.0388    0.0607   0.765        15
             WONB9_3       155.8987       -44.0548         8.2133    0.0338    0.0328    0.0491   0.588        22
             WONB9_2       152.7697       -36.0093         7.8045    0.0345    0.0332    0.0506   0.636        21
            WONB27_3       183.7516       101.8313        51.0881    0.0309    0.0298    0.0432   1.102        24
           WONB9_B15       145.0895       -47.7971         7.8325    0.0338    0.0328    0.0491   0.622        22
          WONB27_B12       175.9411        83.4619        50.8797    0.0303    0.0291    0.0420   1.055        25
